season,week,index,celebrity_name,v_predicted_share,judge_avg_score
5,Week_4,49,Mark Cuban,0.09175115983970115,7.333333333333333
5,Week_5,38,Cameron Mathison,0.11529200669473631,8.666666666666666
5,Week_5,39,Jane Seymour,0.11492981039593515,8.666666666666666
5,Week_5,40,Sabrina Bryan,0.2146123538539709,9.333333333333334
5,Week_5,41,Jennie Garth,0.09968017678292979,8.333333333333334
5,Week_5,45,Helio Castroneves,0.1041573545019438,7.666666666666667
5,Week_5,46,Mel B,0.10264379539479497,9.666666666666666
5,Week_5,48,Marie Osmond,0.12230485547430797,7.0
5,Week_5,49,Mark Cuban,0.126379646901381,7.0
5,Week_6,38,Cameron Mathison,0.09383540741276304,8.333333333333334
5,Week_6,39,Jane Seymour,0.22498512098812357,7.333333333333333
5,Week_6,40,Sabrina Bryan,0.10141372493496967,8.333333333333334
5,Week_6,41,Jennie Garth,0.125018592199053,9.0
5,Week_6,45,Helio Castroneves,0.14592990252197166,9.333333333333334
5,Week_6,46,Mel B,0.24372679264609234,10.0
5,Week_6,48,Marie Osmond,0.06509045929702666,7.666666666666667
5,Week_7,38,Cameron Mathison,0.06772083040358434,8.5
5,Week_7,39,Jane Seymour,0.22744174024890956,8.333333333333334
5,Week_7,41,Jennie Garth,0.1718541117471661,8.833333333333334
5,Week_7,45,Helio Castroneves,0.2589405873840938,8.666666666666666
5,Week_7,46,Mel B,0.09361185886293769,9.0
5,Week_7,48,Marie Osmond,0.18043087135330857,8.666666666666666
5,Week_8,38,Cameron Mathison,0.21408668381880558,8.5
5,Week_8,41,Jennie Garth,0.19927033942030228,8.333333333333334
5,Week_8,45,Helio Castroneves,0.11263984490488284,9.5
5,Week_8,46,Mel B,0.24772800909167259,9.333333333333334
5,Week_8,48,Marie Osmond,0.2262751227643367,8.166666666666666
5,Week_9,41,Jennie Garth,0.14809202122859005,9.666666666666666
5,Week_9,45,Helio Castroneves,0.2651711852273087,10.0
5,Week_9,46,Mel B,0.3464260202464343,10.0
5,Week_9,48,Marie Osmond,0.24031077329766679,9.333333333333334
5,Week_10,45,Helio Castroneves,0.43269912950254297,9.333300000000001
5,Week_10,46,Mel B,0.243787585265271,9.4444
5,Week_10,48,Marie Osmond,0.32351328523218603,7.666666666666667
6,Week_1,50,Cristian de la Fuente,0.10986244347951335,7.0
6,Week_1,51,Steve Guttenberg,0.08515517227301457,6.0
6,Week_1,52,Priscilla Presley,0.047751609406930684,8.0
6,Week_1,53,Marlee Matlin,0.09718670961428484,7.333333333333333
6,Week_1,54,Shannon Elizabeth,0.05929914303651259,7.0
6,Week_1,55,Marissa Jaret Winokur,0.03801388464620792,6.0
6,Week_1,56,Jason Taylor,0.07798657909936317,7.333333333333333
6,Week_1,57,Kristi Yamaguchi,0.11175400061943701,9.0
6,Week_1,58,Monica Seles,0.10956386292528028,5.0
6,Week_1,59,Penn Jillette,0.04121624427954309,5.333333333333333
6,Week_1,60,Adam Carolla,0.07960325551381865,5.0
6,Week_1,61,Mario,0.1426070951060941,8.0
6,Week_2,50,Cristian de la Fuente,0.062119841290534966,6.666666666666667
6,Week_2,51,Steve Guttenberg,0.08317613994460818,5.333333333333333
6,Week_2,52,Priscilla Presley,0.08590792301373928,7.0
6,Week_2,53,Marlee Matlin,0.08858088846239873,8.0
6,Week_2,54,Shannon Elizabeth,0.13121940237806107,8.0
6,Week_2,55,Marissa Jaret Winokur,0.08621179239324797,7.0
6,Week_2,56,Jason Taylor,0.06755871868996133,9.0
6,Week_2,57,Kristi Yamaguchi,0.05760600745372862,9.0
6,Week_2,58,Monica Seles,0.11170096995260419,5.0
6,Week_2,59,Penn Jillette,0.04022307574638484,5.666666666666667
6,Week_2,60,Adam Carolla,0.08838645502510391,6.333333333333333
6,Week_2,61,Mario,0.0973087856496268,8.666666666666666
6,Week_3,50,Cristian de la Fuente,0.09120926660563398,8.333333333333334
6,Week_3,51,Steve Guttenberg,0.0681689907333891,7.0
6,Week_3,52,Priscilla Presley,0.08223789486073028,8.666666666666666
6,Week_3,53,Marlee Matlin,0.058947616360102796,7.0
6,Week_3,54,Shannon Elizabeth,0.05827871866376977,8.0
6,Week_3,55,Marissa Jaret Winokur,0.11349187309645872,6.333333333333333
6,Week_3,56,Jason Taylor,0.07638509674065459,7.666666666666667
6,Week_3,57,Kristi Yamaguchi,0.11223786573574383,9.0
6,Week_3,60,Adam Carolla,0.1235038851483993,7.0
6,Week_3,61,Mario,0.2155387920551177,7.0
6,Week_4,50,Cristian de la Fuente,0.19837456903053682,8.666666666666666
6,Week_4,52,Priscilla Presley,0.09984203339662891,7.333333333333333
6,Week_4,53,Marlee Matlin,0.06590775227536998,8.0
6,Week_4,54,Shannon Elizabeth,0.10808151000595956,9.333333333333334
6,Week_4,55,Marissa Jaret Winokur,0.09861429234993722,8.0
6,Week_4,56,Jason Taylor,0.13125775187549835,9.666666666666666
6,Week_4,57,Kristi Yamaguchi,0.1251848214421856,9.666666666666666
6,Week_4,60,Adam Carolla,0.12294505272452791,6.333333333333333
6,Week_4,61,Mario,0.04979221689935569,8.0
6,Week_5,50,Cristian de la Fuente,0.08190107940837651,7.666666666666667
6,Week_5,52,Priscilla Presley,0.14394739358925748,7.0
6,Week_5,53,Marlee Matlin,0.1535651598644707,7.333333333333333
6,Week_5,54,Shannon Elizabeth,0.09745115573619338,7.666666666666667
6,Week_5,55,Marissa Jaret Winokur,0.09885487975493239,8.0
6,Week_5,56,Jason Taylor,0.0696222945835086,9.0
6,Week_5,57,Kristi Yamaguchi,0.07101056844298453,9.666666666666666
6,Week_5,61,Mario,0.28364746862027646,9.0
6,Week_6,50,Cristian de la Fuente,0.12468354509269218,9.0
6,Week_6,53,Marlee Matlin,0.1923284731285868,7.0
6,Week_6,54,Shannon Elizabeth,0.1211586177473586,8.0
6,Week_6,55,Marissa Jaret Winokur,0.14234296758415366,8.666666666666666
6,Week_6,56,Jason Taylor,0.15358577944351035,8.0
6,Week_6,57,Kristi Yamaguchi,0.19315775714379843,10.0
6,Week_6,61,Mario,0.07274285985990012,9.333333333333334
6,Week_7,50,Cristian de la Fuente,0.11803194871589422,7.666666666666667
6,Week_7,54,Shannon Elizabeth,0.3254829169101384,8.5
6,Week_7,55,Marissa Jaret Winokur,0.13075659459392033,8.666666666666666
6,Week_7,56,Jason Taylor,0.1977245386978902,9.166666666666666
6,Week_7,57,Kristi Yamaguchi,0.15045209062798648,9.0
6,Week_7,61,Mario,0.07755191045417034,8.5
6,Week_8,50,Cristian de la Fuente,0.1913466451813307,9.5
6,Week_8,55,Marissa Jaret Winokur,0.14549818143728493,8.333333333333334
6,Week_8,56,Jason Taylor,0.19301511923161546,8.666666666666666
6,Week_8,57,Kristi Yamaguchi,0.2702134849949505,9.166666666666666
6,Week_8,61,Mario,0.19992656915481832,8.833333333333334
6,Week_9,50,Cristian de la Fuente,0.15190211519067376,9.333333333333334
6,Week_9,55,Marissa Jaret Winokur,0.1895213089437555,8.666666666666666
6,Week_9,56,Jason Taylor,0.25394613933886295,9.166666666666666
6,Week_9,57,Kristi Yamaguchi,0.40463043652670777,9.5
6,Week_10,50,Cristian de la Fuente,0.2704362342149657,8.666666666666666
6,Week_10,56,Jason Taylor,0.26516867201362915,9.5
6,Week_10,57,Kristi Yamaguchi,0.46439509377140514,10.0
7,Week_1,62,Ted McGinley,0.06097548455404813,6.166666666666667
7,Week_1,63,Cloris Leachman,0.06484960886166233,5.333333333333333
7,Week_1,64,Susan Lucci,0.0436917944420841,6.166666666666667
7,Week_1,65,Cody Linley,0.04862745091945474,6.833333333333333
7,Week_1,66,Misty May-Treanor,0.06590015485838067,7.0
7,Week_1,67,Maurice Greene,0.05635878841659639,6.5
7,Week_1,68,Warren Sapp,0.19225181915827488,7.166666666666667
7,Week_1,69,Jeffrey Ross,0.06023954159276162,4.0
7,Week_1,70,Toni Braxton,0.08763796569851588,7.5
7,Week_1,71,Lance Bass,0.06023735251960609,7.166666666666667
7,Week_1,72,Kim Kardashian,0.09519198159062885,6.166666666666667
7,Week_1,73,Rocco DiSpirito,0.11480108302579545,5.833333333333333
7,Week_1,74,Brooke Burke,0.04923697436219087,8.166666666666666
7,Week_2,63,Cloris Leachman,0.08654881790009118,5.0
7,Week_2,64,Susan Lucci,0.0385928683726598,7.0
7,Week_2,65,Cody Linley,0.08625779988625044,7.0
7,Week_2,66,Misty May-Treanor,0.11973467953315242,7.0
7,Week_2,67,Maurice Greene,0.10945793221292371,6.333333333333333
7,Week_2,68,Warren Sapp,0.12461247569427528,8.0
7,Week_2,70,Toni Braxton,0.03369166016075199,7.666666666666667
7,Week_2,71,Lance Bass,0.05640719883788547,6.666666666666667
7,Week_2,72,Kim Kardashian,0.1951384451994036,5.666666666666667
7,Week_2,73,Rocco DiSpirito,0.09780955323144705,5.333333333333333
7,Week_2,74,Brooke Burke,0.05174856897115925,8.0
7,Week_3,63,Cloris Leachman,0.08092712559005019,5.333333333333333
7,Week_3,64,Susan Lucci,0.11295744080787783,7.0
7,Week_3,65,Cody Linley,0.10200071299418666,7.0
7,Week_3,67,Maurice Greene,0.10110037167337789,8.0
7,Week_3,68,Warren Sapp,0.07891415620704938,8.333333333333334
7,Week_3,70,Toni Braxton,0.11866387640723416,7.333333333333333
7,Week_3,71,Lance Bass,0.1572616307709345,7.333333333333333
7,Week_3,73,Rocco DiSpirito,0.10276006583839592,6.666666666666667
7,Week_3,74,Brooke Burke,0.14541461971089342,9.333333333333334
7,Week_4,63,Cloris Leachman,0.09752292829340821,7.333333333333333
7,Week_4,64,Susan Lucci,0.221818341276665,8.0
7,Week_4,65,Cody Linley,0.14086951653978222,7.666666666666667
7,Week_4,67,Maurice Greene,0.20571736768812712,6.666666666666667
7,Week_4,68,Warren Sapp,0.04693870212852274,7.333333333333333
7,Week_4,70,Toni Braxton,0.07614747611398877,7.333333333333333
7,Week_4,71,Lance Bass,0.09579056858647539,8.666666666666666
7,Week_4,73,Rocco DiSpirito,0.07345619983285365,6.0
7,Week_4,74,Brooke Burke,0.04173889954017687,8.666666666666666
7,Week_5,63,Cloris Leachman,0.0801630039647072,7.0
7,Week_5,64,Susan Lucci,0.14441087441293737,7.333333333333333
7,Week_5,65,Cody Linley,0.11647377726370495,9.333333333333334
7,Week_5,67,Maurice Greene,0.12591723490926363,9.0
7,Week_5,68,Warren Sapp,0.18395695501303774,8.333333333333334
7,Week_5,70,Toni Braxton,0.08480854496246105,7.333333333333333
7,Week_5,71,Lance Bass,0.16392775024990278,7.0
7,Week_5,74,Brooke Burke,0.10034185922398527,9.666666666666666
7,Week_6,63,Cloris Leachman,0.18888493505813436,5.0
7,Week_6,64,Susan Lucci,0.11406894636803373,7.666666666666667
7,Week_6,65,Cody Linley,0.17559470724282386,7.666666666666667
