celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
Gladys Knight,14,2012,Gladys Knight,https://en.wikipedia.org/wiki/Gladys_Knight,0,1160,Success,
Katherine Jenkins,14,2012,Katherine Jenkins,https://en.wikipedia.org/wiki/Katherine_Jenkins,0,1195,Success,
Maria Menounos,14,2012,Maria Menounos,https://en.wikipedia.org/wiki/Maria_Menounos,0,911,Success,
Gilles Marini,15,2012,Gilles Marini,https://en.wikipedia.org/wiki/Gilles_Marini,0,244,Success,
Sabrina Bryan,15,2012,Sabrina Bryan,https://en.wikipedia.org/wiki/Sabrina_Bryan,0,2048,Success,
Kirstie Alley,15,2012,Kirstie Alley,https://en.wikipedia.org/wiki/Kirstie_Alley,0,1668,Success,
Kelly Monaco,15,2012,Kelly Monaco,https://en.wikipedia.org/wiki/Kelly_Monaco,0,941,Success,
Apolo Anton Ohno,15,2012,Karina Smirnoff,https://en.wikipedia.org/wiki/Karina_Smirnoff,0,974,Success,
Emmitt Smith,15,2012,Emmitt Smith,https://en.wikipedia.org/wiki/Emmitt_Smith,0,2154,Success,
Shawn Johnson,15,2012,Shawn Johnson East,https://en.wikipedia.org/wiki/Shawn_Johnson_East,0,1929,Success,
Pamela Anderson,15,2012,Pamela Anderson,https://en.wikipedia.org/wiki/Pamela_Anderson,0,5720,Success,
Helio Castroneves,15,2012,2002 Indy Racing League,https://en.wikipedia.org/wiki/2002_Indy_Racing_League,0,130,Success,
Joey Fatone,15,2012,Joey Fatone,https://en.wikipedia.org/wiki/Joey_Fatone,0,980,Success,
Drew Lachey,15,2012,Drew Lachey,https://en.wikipedia.org/wiki/Drew_Lachey,0,346,Success,
Bristol Palin,15,2012,Bristol Palin,https://en.wikipedia.org/wiki/Bristol_Palin,0,1514,Success,
Melissa Rycroft,15,2012,Melissa Rycroft,https://en.wikipedia.org/wiki/Melissa_Rycroft,0,554,Success,
Ingo Rademacher,16,2013,Ingo Rademacher,https://en.wikipedia.org/wiki/Ingo_Rademacher,0,241,Success,
Zendaya,16,2013,Zendaya,https://en.wikipedia.org/wiki/Zendaya,0,1757,Success,
