season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
3,Week_4,Sara Evans,0.1185862390196642,0.07242554647889335,0.18457424321110533,0.027511949041822588,-0.0099628939930308,0.2276052432111284
3,Week_4,Jerry Springer,0.122554549104349,0.07105390464627585,0.2097179421653979,0.035726654412522464,0.0317140806218274,0.3039987687599547
3,Week_5,Monique Coleman,0.1054414978503383,0.07437089495956961,0.23246113277395036,0.04355400250948003,-0.0162394054161242,0.3164911040794353
3,Week_5,Joey Lawrence,0.1369737529934087,0.0742144457755103,0.23577261845038464,0.04170476933905414,-0.0137218255788263,0.3061921849109386
3,Week_5,Mario Lopez,0.1717454839834147,0.07485062142854158,0.2388122791959238,0.04119102688133232,-0.0128853734427911,0.3026569106509522
3,Week_5,Emmitt Smith,0.1446766074493729,0.06290573775091547,0.28399810396792696,0.05703399900323788,0.0100088585832359,0.4533460735815194
3,Week_5,Willa Ford,0.16402530599207,0.08537017093736185,0.21282960354359515,0.03324047710076581,-0.014929202708797,0.2430150322395748
3,Week_5,Sara Evans,0.1653829585413862,0.08610621586471888,0.2112483735537415,0.03300345004956564,-0.0099628939930308,0.2276052432111284
3,Week_5,Jerry Springer,0.111754393190009,0.08026288503521158,0.23424189079928348,0.03986732807717058,0.0317140806218274,0.3039987687599547
3,Week_6,Monique Coleman,0.1709254786895674,0.10201205701537867,0.32078475598268935,0.054965862059814415,-0.0162394054161242,0.3164911040794353
3,Week_6,Joey Lawrence,0.2032435330437801,0.10000885573569834,0.3326517989328291,0.057791205339274204,-0.0137218255788263,0.3061921849109386
3,Week_6,Mario Lopez,0.1942869972256126,0.10283336904350196,0.32211299160488466,0.055156880707331386,-0.0128853734427911,0.3026569106509522
3,Week_6,Emmitt Smith,0.1692699197871561,0.08960742169944347,0.39731951956260203,0.07765314555277449,0.0100088585832359,0.4533460735815194
3,Week_6,Jerry Springer,0.2622740712538836,0.1110845666749117,0.3262471563783063,0.05498738675438393,0.0317140806218274,0.3039987687599547
3,Week_7,Monique Coleman,0.1962296260352956,0.09987559206305652,0.3098735172675517,0.05277435953810843,-0.0162394054161242,0.3164911040794353
3,Week_7,Joey Lawrence,0.1984363402833208,0.10915705280477425,0.3238190552114607,0.05577442501479642,-0.0137218255788263,0.3061921849109386
3,Week_7,Mario Lopez,0.2368373098045313,0.10894519721011289,0.31405831037252996,0.05487360963331271,-0.0128853734427911,0.3026569106509522
3,Week_7,Emmitt Smith,0.2044281236539518,0.09418972461509209,0.38436703386363175,0.07648637412875856,0.0100088585832359,0.4533460735815194
3,Week_7,Jerry Springer,0.1640686002229004,0.10878728722178165,0.3243858121644476,0.05554191841144907,0.0317140806218274,0.3039987687599547
3,Week_8,Monique Coleman,0.2535946121997176,0.1352933365054513,0.39793003626200013,0.06890042054384345,-0.0162394054161242,0.3164911040794353
3,Week_8,Joey Lawrence,0.1820102946595231,0.131937992007686,0.39799736844042816,0.06871336921182719,-0.0137218255788263,0.3061921849109386
